anio,estacion,PRCPTOT,SDII,CWD,CDD,R10mm,R20mm,R40mm,R95pTOT,R99pTOT,Rx1day,Rx5day,FD,SU,ID,TR,TXx,TNx,TXn,TNn,TN10p,TX10p,TN90p,TX90p,WSDI,CSDI,DTR,GSL
1961,Invierno,97.30000000000001,10.600000000000001,1.0,33.0,3.0,1.0,1.0,0.0,0.0,40.4,56.099999999999994,15,0,0,0,24.8,15.8,7.8,-3.7,15.217391304347828,8.695652173913043,13.043478260869565,7.608695652173914,0,0,9.67282608695652,
1961,Otoño,229.2,15.046666666666665,3.0,19.0,8.0,2.0,2.0,111.5,0.0,58.0,72.7,2,18,0,4,31.1,21.8,13.9,-2.0,14.130434782608695,11.956521739130435,11.956521739130435,10.869565217391305,0,0,10.782608695652172,
1961,Primavera,260.8,13.0,3.0,11.0,10.0,6.0,1.0,0.0,0.0,42.6,52.7,1,26,0,1,31.8,20.2,11.6,-0.2,13.186813186813188,5.4945054945054945,15.384615384615385,10.989010989010989,0,0,10.938461538461539,
1961,Verano,233.50000000000003,12.278947368421052,2.0,10.0,5.0,4.0,1.0,59.0,0.0,59.0,93.0,0,62,0,10,35.1,23.0,18.1,6.3,17.77777777777778,11.11111111111111,6.666666666666667,4.444444444444445,0,0,11.837777777777779,
1962,Invierno,160.6,15.690000000000001,5.0,27.0,6.0,3.0,0.0,0.0,0.0,39.4,87.2,14,0,0,0,24.8,16.0,6.6,-3.7,20.652173913043477,17.391304347826086,9.782608695652174,6.521739130434782,0,0,9.683695652173913,
1962,Otoño,241.20000000000002,24.0,2.0,16.0,4.0,3.0,2.0,131.0,131.0,131.0,150.4,3,30,0,3,36.3,20.9,9.0,-2.4,14.130434782608695,10.869565217391305,9.782608695652174,15.217391304347828,0,0,11.82826086956522,
1962,Primavera,212.79999999999998,19.154545454545456,3.0,22.0,9.0,5.0,0.0,0.0,0.0,32.6,71.7,2,18,0,0,33.5,19.5,11.8,-1.2,15.384615384615385,4.395604395604396,6.593406593406594,14.285714285714285,0,0,11.503296703296703,
1962,Verano,150.39999999999998,9.986666666666668,2.0,16.0,5.0,3.0,0.0,0.0,0.0,38.4,40.699999999999996,0,72,0,3,37.2,20.8,21.0,4.8,17.77777777777778,10.0,2.2222222222222223,4.444444444444445,0,0,12.931111111111111,
1963,Invierno,388.9,19.404999999999998,3.0,13.0,11.0,8.0,2.0,128.9,0.0,65.9,134.4,5,0,0,0,24.2,15.4,6.6,-1.2,9.782608695652174,5.434782608695652,17.391304347826086,7.608695652173914,0,0,7.913043478260868,
1963,Otoño,302.7,21.507142857142863,2.0,13.0,6.0,5.0,2.0,157.5,96.2,96.2,125.1,3,26,0,3,31.5,21.0,13.7,-1.2,18.478260869565215,8.695652173913043,16.304347826086957,16.304347826086957,0,0,10.746739130434781,
1963,Primavera,400.90000000000003,15.353846153846153,5.0,12.0,14.0,10.0,1.0,56.0,0.0,56.0,92.4,0,5,0,0,30.8,17.3,10.4,2.7,12.087912087912088,20.87912087912088,7.6923076923076925,3.296703296703297,0,0,8.962637362637363,
1963,Verano,441.29999999999995,23.115789473684213,3.0,10.0,13.0,7.0,3.0,165.2,108.2,108.2,109.2,0,66,0,11,35.5,23.0,19.8,8.0,7.777777777777778,12.222222222222221,5.555555555555555,3.3333333333333335,0,0,10.204444444444443,
1964,Invierno,125.00000000000001,11.30909090909091,2.0,21.0,5.0,1.0,0.0,0.0,0.0,35.9,39.4,19,0,0,0,22.5,14.2,8.0,-4.7,20.652173913043477,9.782608695652174,6.521739130434782,8.695652173913043,0,0,11.48804347826087,
1964,Otoño,313.7,15.655000000000001,4.0,21.0,14.0,5.0,1.0,54.7,0.0,54.7,71.1,1,15,0,1,30.1,20.3,13.9,-1.8,14.130434782608695,8.695652173913043,8.695652173913043,8.695652173913043,0,6,10.960869565217392,
1964,Primavera,244.60000000000002,13.405555555555557,4.0,9.0,6.0,4.0,1.0,89.2,89.2,89.2,110.9,3,8,0,0,27.6,17.0,10.2,-2.2,21.978021978021978,10.989010989010989,3.296703296703297,6.593406593406594,0,0,11.262637362637363,
1964,Verano,204.70000000000002,25.387500000000003,1.0,25.0,3.0,1.0,1.0,148.6,148.6,148.6,148.6,0,70,0,4,35.5,21.1,20.5,5.2,19.78021978021978,6.593406593406594,2.197802197802198,9.89010989010989,0,0,12.82967032967033,
1965,Invierno,113.6,7.36,3.0,21.0,6.0,0.0,0.0,0.0,0.0,15.3,29.9,13,2,0,0,25.9,18.4,6.5,-3.1,11.956521739130435,11.956521739130435,23.91304347826087,19.565217391304348,0,0,9.071739130434782,
1965,Otoño,138.20000000000002,11.308333333333335,2.0,21.0,4.0,3.0,0.0,0.0,0.0,30.0,55.0,2,19,0,0,31.5,19.8,8.1,-1.2,28.26086956521739,20.652173913043477,2.1739130434782608,15.217391304347828,0,0,12.471739130434784,
1965,Primavera,149.2,11.23076923076923,2.0,19.0,5.0,3.0,0.0,0.0,0.0,32.5,32.5,2,16,0,4,34.1,21.8,13.1,-1.0,20.87912087912088,8.791208791208792,14.285714285714285,12.087912087912088,0,0,11.454945054945053,
1965,Verano,192.3,11.925,2.0,15.0,8.0,3.0,0.0,0.0,0.0,37.7,53.2,0,72,0,13,38.1,22.7,19.1,6.0,13.333333333333334,6.666666666666667,8.88888888888889,24.444444444444443,6,0,13.154444444444445,
1966,Invierno,127.80000000000001,10.483333333333333,4.0,31.0,5.0,1.0,1.0,0.0,0.0,45.1,55.7,8,0,0,0,23.8,18.8,8.7,-4.0,10.869565217391305,10.869565217391305,7.608695652173914,9.782608695652174,0,0,9.876086956521739,
1966,Otoño,431.5,18.686956521739127,4.0,12.0,13.0,6.0,4.0,230.2,0.0,70.4,127.4,0,14,0,1,30.0,20.3,13.7,2.1,6.521739130434782,7.608695652173914,11.956521739130435,5.434782608695652,0,0,9.407608695652176,
1966,Primavera,170.70000000000002,10.6,4.0,21.0,7.0,3.0,0.0,0.0,0.0,31.0,50.0,4,15,0,0,30.1,18.8,10.3,-2.7,20.87912087912088,16.483516483516482,4.395604395604396,4.395604395604396,0,0,11.647252747252749,
1966,Verano,277.3,11.973913043478262,4.0,10.0,12.0,3.0,1.0,0.0,0.0,40.1,44.1,0,66,0,5,34.6,22.5,21.2,6.0,24.444444444444443,8.88888888888889,3.3333333333333335,3.3333333333333335,0,7,11.957777777777778,
1967,Invierno,297.1,16.344444444444445,3.0,18.0,9.0,4.0,2.0,62.2,0.0,62.2,81.0,15,0,0,0,19.8,13.2,6.2,-5.7,17.391304347826086,16.304347826086957,2.1739130434782608,2.1739130434782608,0,0,9.246739130434781,
1967,Otoño,240.0,11.78,2.0,25.0,9.0,3.0,1.0,54.7,0.0,54.7,68.5,0,28,0,1,34.1,20.5,10.8,2.1,17.391304347826086,9.782608695652174,10.869565217391305,27.173913043478258,0,0,11.851086956521737,
1967,Primavera,545.4,21.747999999999998,3.0,10.0,14.0,11.0,5.0,203.2,0.0,69.3,203.8,0,15,0,0,29.3,19.7,10.7,1.1,3.296703296703297,3.296703296703297,17.582417582417584,9.89010989010989,0,0,9.634065934065934,
1967,Verano,141.8,10.738461538461538,2.0,21.0,6.0,2.0,0.0,0.0,0.0,28.1,55.6,0,75,0,14,38.1,23.8,20.6,5.4,13.333333333333334,6.666666666666667,12.222222222222221,7.777777777777778,0,0,12.851111111111113,
1968,Invierno,195.00000000000003,8.736363636363636,3.0,12.0,7.0,2.0,0.0,0.0,0.0,35.2,52.4,3,0,0,0,23.2,13.7,8.6,-0.8,3.260869565217391,2.1739130434782608,18.478260869565215,13.043478260869565,0,0,8.431521739130433,
1968,Otoño,82.3,10.2125,2.0,30.0,2.0,2.0,0.0,0.0,0.0,33.4,33.4,2,26,0,1,32.1,21.6,12.6,-1.2,25.0,14.130434782608695,2.1739130434782608,6.521739130434782,0,0,12.496739130434781,
1968,Primavera,243.79999999999995,18.415384615384614,4.0,27.0,8.0,2.0,1.0,89.2,89.2,89.2,97.7,2,19,0,0,32.6,18.9,10.4,-1.0,8.791208791208792,4.395604395604396,13.186813186813188,10.989010989010989,0,0,10.431868131868132,
1968,Verano,313.4,15.55,4.0,18.0,10.0,5.0,3.0,53.0,0.0,53.0,122.80000000000001,0,66,0,13,37.5,22.3,21.2,7.7,8.791208791208792,8.791208791208792,10.989010989010989,9.89010989010989,0,0,11.542857142857144,
1969,Invierno,139.6,13.84,2.0,37.0,5.0,1.0,1.0,60.0,0.0,60.0,62.2,10,0,0,0,24.7,17.1,9.0,-2.4,19.565217391304348,6.521739130434782,10.869565217391305,11.956521739130435,0,0,10.045652173913044,
1969,Otoño,384.90000000000003,27.407142857142855,2.0,22.0,10.0,7.0,3.0,195.5,82.8,82.8,106.4,0,28,0,3,32.6,21.8,13.0,1.9,10.869565217391305,7.608695652173914,15.217391304347828,17.391304347826086,0,0,10.61086956521739,
1969,Primavera,135.6,7.466666666666665,2.0,18.0,6.0,0.0,0.0,0.0,0.0,18.2,26.599999999999998,0,18,0,1,30.2,21.0,10.7,0.1,17.582417582417584,4.395604395604396,5.4945054945054945,9.89010989010989,0,0,11.891208791208793,
1969,Verano,174.89999999999998,15.82727272727273,2.0,14.0,7.0,4.0,0.0,0.0,0.0,33.0,57.0,0,77,0,11,36.4,24.5,21.6,6.5,15.555555555555555,10.0,11.11111111111111,11.11111111111111,0,0,12.36888888888889,
1970,Invierno,111.99999999999999,10.85,2.0,19.0,3.0,3.0,0.0,0.0,0.0,34.0,34.8,10,0,0,0,24.1,14.8,7.9,-3.6,14.130434782608695,9.782608695652174,11.956521739130435,9.782608695652174,0,0,9.396739130434783,
1970,Otoño,236.0,12.194736842105263,4.0,22.0,9.0,3.0,1.0,53.8,0.0,53.8,81.5,0,27,0,6,33.9,24.1,12.2,0.8,5.434782608695652,11.956521739130435,17.391304347826086,20.652173913043477,0,0,10.23804347826087,
1970,Primavera,235.70000000000002,14.587499999999999,2.0,13.0,6.0,4.0,1.0,80.1,80.1,80.1,84.1,0,9,0,0,27.6,18.3,12.5,0.5,18.681318681318682,7.6923076923076925,10.989010989010989,4.395604395604396,0,0,11.187912087912089,
1970,Verano,159.6,11.264285714285716,2.0,21.0,8.0,1.0,0.0,0.0,0.0,21.2,39.6,0,76,0,24,36.8,26.4,19.5,3.8,16.666666666666664,12.222222222222221,17.77777777777778,15.555555555555555,0,0,12.155555555555555,
1971,Invierno,173.7,12.185714285714285,2.0,22.0,5.0,4.0,0.0,0.0,0.0,34.4,34.6,9,0,0,0,23.8,14.7,7.8,-3.1,11.956521739130435,10.869565217391305,10.869565217391305,10.869565217391305,0,0,9.360869565217392,
1971,Otoño,166.5,9.066666666666666,3.0,13.0,5.0,1.0,1.0,0.0,0.0,44.5,55.1,4,18,0,4,29.5,20.5,10.9,-2.6,19.565217391304348,23.91304347826087,8.695652173913043,10.869565217391305,0,0,10.53804347826087,
1971,Primavera,241.9,13.344444444444443,2.0,18.0,10.0,4.0,2.0,0.0,0.0,45.6,64.9,1,20,0,0,32.3,18.6,12.2,-0.7,12.087912087912088,3.296703296703297,13.186813186813188,9.89010989010989,0,0,10.711666666666666,
1971,Verano,336.1,13.319999999999999,4.0,10.0,12.0,6.0,2.0,52.0,0.0,52.0,95.5,0,57,0,20,37.8,26.6,15.5,1.3,18.88888888888889,18.88888888888889,12.222222222222221,5.555555555555555,0,0,11.207777777777778,
1972,Invierno,285.1000000000001,13.985,5.0,13.0,8.0,5.0,1.0,79.0,0.0,79.0,79.8,6,0,0,0,23.3,16.4,7.2,-2.6,9.782608695652174,19.565217391304348,11.956521739130435,5.434782608695652,0,0,8.041304347826086,
1972,Otoño,217.20000000000002,11.999999999999998,2.0,12.0,5.0,4.0,1.0,69.0,0.0,69.0,83.7,0,23,0,0,32.5,19.0,12.5,3.5,2.1739130434782608,8.695652173913043,6.521739130434782,10.869565217391305,0,0,10.475,
1972,Primavera,308.6,16.105263157894736,2.0,8.0,11.0,5.0,2.0,56.0,0.0,56.0,69.6,2,9,0,0,28.5,17.6,9.6,-1.2,19.78021978021978,7.6923076923076925,12.087912087912088,3.296703296703297,0,0,10.326373626373627,
1972,Verano,150.3,13.409090909090907,4.0,37.0,4.0,2.0,1.0,55.7,0.0,55.7,90.8,0,66,0,20,35.0,23.9,15.0,9.0,12.087912087912088,7.6923076923076925,15.384615384615385,6.593406593406594,0,0,11.07692307692308,
1973,Invierno,205.7,9.25909090909091,4.0,17.0,5.0,2.0,1.0,53.0,0.0,53.0,73.5,7,0,0,0,23.0,16.7,7.4,-2.1,9.782608695652174,7.608695652173914,13.043478260869565,9.782608695652174,0,0,8.81304347826087,
1973,Otoño,249.29999999999995,12.26,4.0,14.0,8.0,4.0,1.0,0.0,0.0,44.0,65.8,0,19,0,5,30.0,21.0,12.7,0.6,8.695652173913043,10.869565217391305,10.869565217391305,4.3478260869565215,0,0,8.981521739130438,
1973,Primavera,124.60000000000001,9.23846153846154,2.0,27.0,5.0,1.0,0.0,0.0,0.0,27.0,37.5,2,11,0,0,29.5,18.0,11.0,-1.7,19.78021978021978,14.285714285714285,7.6923076923076925,8.791208791208792,0,0,11.27912087912088,
1973,Verano,328.7,14.117391304347823,4.0,10.0,11.0,3.0,2.0,142.7,0.0,72.4,116.0,0,62,0,17,33.9,23.9,18.2,4.2,12.222222222222221,17.77777777777778,12.222222222222221,3.3333333333333335,0,0,10.327777777777776,
1974,Invierno,172.0,10.041176470588235,3.0,19.0,5.0,4.0,0.0,0.0,0.0,35.6,41.300000000000004,13,0,0,0,24.8,17.6,9.0,-4.6,13.043478260869565,7.608695652173914,17.391304347826086,8.695652173913043,0,0,9.94891304347826,
1974,Otoño,197.1,11.447058823529412,2.0,32.0,7.0,2.0,1.0,59.5,0.0,59.5,78.7,0,32,0,4,30.5,22.0,15.2,1.8,7.608695652173914,1.0869565217391304,17.391304347826086,18.478260869565215,0,0,10.314130434782609,
1974,Primavera,129.5,9.8,3.0,16.0,5.0,2.0,0.0,0.0,0.0,25.5,41.2,2,15,0,0,31.5,17.7,12.0,-1.1,19.78021978021978,9.89010989010989,4.395604395604396,6.593406593406594,0,0,11.263736263736265,
1974,Verano,259.8,13.589473684210526,3.0,17.0,9.0,4.0,1.0,59.5,0.0,59.5,73.0,0,62,0,12,35.0,22.5,17.2,6.1,14.444444444444443,13.333333333333334,10.0,4.444444444444445,0,0,10.95,
1975,Invierno,223.2,12.299999999999999,3.0,19.0,9.0,4.0,0.0,0.0,0.0,33.3,57.599999999999994,5,0,0,0,21.6,13.4,7.4,-2.6,8.695652173913043,9.782608695652174,9.782608695652174,7.608695652173914,0,0,8.830434782608695,
1975,Otoño,256.90000000000003,16.933333333333334,5.0,17.0,8.0,5.0,1.0,71.5,0.0,71.5,134.3,0,15,0,3,31.8,23.3,13.0,2.0,8.695652173913043,11.956521739130435,20.652173913043477,14.130434782608695,0,0,9.321739130434782,
1975,Primavera,70.5,6.869999999999999,3.0,27.0,1.0,1.0,0.0,0.0,0.0,24.5,37.1,1,15,0,1,30.0,20.6,12.9,-0.8,9.89010989010989,3.296703296703297,9.89010989010989,5.4945054945054945,0,0,11.32197802197802,
1975,Verano,265.59999999999997,18.75,3.0,20.0,5.0,5.0,4.0,153.3,0.0,53.1,150.2,0,75,0,20,37.1,23.0,17.5,6.3,12.222222222222221,8.88888888888889,13.333333333333334,12.222222222222221,0,0,12.203333333333333,
1976,Invierno,186.0,10.823529411764707,5.0,26.0,9.0,2.0,0.0,0.0,0.0,34.0,62.7,16,0,0,0,23.1,14.0,8.4,-3.6,13.043478260869565,17.391304347826086,8.695652173913043,5.434782608695652,0,0,9.265217391304347,
1976,Otoño,192.8,11.152941176470588,5.0,19.0,7.0,3.0,0.0,0.0,0.0,39.1,59.300000000000004,0,9,0,1,28.9,20.3,12.4,1.4,17.391304347826086,23.91304347826087,10.869565217391305,4.3478260869565215,0,0,9.913043478260871,
1976,Primavera,428.4,21.240000000000002,2.0,18.0,9.0,6.0,6.0,251.49999999999997,0.0,72.7,88.7,2,9,0,0,30.3,18.6,9.1,-1.2,12.087912087912088,13.186813186813188,8.791208791208792,7.6923076923076925,0,0,10.025274725274725,
1976,Verano,466.20000000000005,19.241666666666664,4.0,14.0,15.0,9.0,4.0,120.0,0.0,60.0,106.5,0,66,0,17,34.8,22.8,19.5,8.3,7.6923076923076925,10.989010989010989,10.989010989010989,9.89010989010989,0,0,10.48021978021978,
1977,Invierno,151.9,10.657142857142857,2.0,20.0,7.0,1.0,0.0,0.0,0.0,22.0,53.0,5,0,0,0,22.9,14.6,8.5,-2.3,6.521739130434782,4.3478260869565215,13.043478260869565,10.869565217391305,0,0,8.871739130434783,
1977,Otoño,230.8,16.485714285714288,3.0,21.0,9.0,5.0,1.0,54.0,0.0,54.0,109.3,0,22,0,1,30.4,20.8,11.6,0.5,15.217391304347828,18.478260869565215,9.782608695652174,11.956521739130435,0,6,10.759782608695652,
1977,Primavera,355.70000000000005,16.04090909090909,4.0,9.0,13.0,9.0,1.0,0.0,0.0,46.5,59.0,1,22,0,2,30.6,20.4,13.3,-1.2,10.989010989010989,6.593406593406594,25.274725274725274,9.89010989010989,0,0,10.082417582417582,
1977,Verano,463.59999999999997,21.933333333333334,3.0,12.0,13.0,6.0,5.0,251.9,80.0,80.0,151.2,0,69,0,28,33.6,24.6,18.3,9.6,3.3333333333333335,10.0,25.555555555555554,3.3333333333333335,0,0,9.064444444444446,
1978,Invierno,363.4,20.083333333333332,3.0,19.0,12.0,6.0,3.0,101.5,0.0,54.0,112.8,10,0,0,0,23.9,14.4,8.6,-2.6,13.043478260869565,10.869565217391305,10.869565217391305,3.260869565217391,0,0,8.886956521739132,
1978,Otoño,200.4,12.43125,3.0,14.0,6.0,2.0,1.0,56.6,0.0,56.6,73.0,0,19,0,0,32.2,19.6,11.4,1.4,10.869565217391305,10.869565217391305,7.608695652173914,9.782608695652174,0,0,10.266304347826088,
1978,Primavera,372.4,13.257142857142858,3.0,11.0,15.0,5.0,1.0,0.0,0.0,42.6,65.89999999999999,1,9,0,0,31.7,19.2,11.0,-2.6,9.89010989010989,7.6923076923076925,15.384615384615385,5.4945054945054945,0,0,10.13076923076923,
1978,Verano,280.2,14.668421052631578,5.0,14.0,11.0,5.0,1.0,0.0,0.0,46.5,137.0,0,62,0,6,34.0,21.7,19.2,6.5,11.11111111111111,17.77777777777778,6.666666666666667,2.2222222222222223,0,0,10.839999999999998,
1979,Invierno,121.2,9.908333333333333,3.0,21.0,4.0,1.0,1.0,0.0,0.0,43.2,65.8,7,4,0,0,28.4,17.3,9.4,-2.5,9.782608695652174,4.3478260869565215,8.695652173913043,13.043478260869565,0,0,10.198913043478258,
1979,Otoño,115.7,11.45,2.0,14.0,6.0,1.0,0.0,0.0,0.0,24.5,40.5,1,19,0,0,29.8,18.8,10.0,-0.9,20.652173913043477,7.608695652173914,2.1739130434782608,8.695652173913043,0,0,12.454347826086956,
1979,Primavera,191.1,11.2,3.0,22.0,8.0,2.0,1.0,0.0,0.0,45.5,61.1,2,14,0,0,29.4,18.2,11.6,-0.7,15.384615384615385,14.285714285714285,14.285714285714285,4.395604395604396,0,0,10.54835164835165,
1979,Verano,153.9,15.379999999999999,2.0,21.0,5.0,3.0,1.0,54.0,0.0,54.0,57.5,0,73,0,10,36.5,21.3,18.0,8.2,13.333333333333334,10.0,6.666666666666667,11.11111111111111,0,0,12.21111111111111,
1980,Invierno,251.39999999999998,11.933333333333332,3.0,16.0,11.0,4.0,0.0,0.0,0.0,30.8,65.9,7,0,0,0,20.9,13.2,7.9,-2.6,10.869565217391305,14.130434782608695,8.695652173913043,4.3478260869565215,0,0,8.624999999999998,
1980,Otoño,553.9,22.036000000000005,3.0,16.0,10.0,6.0,4.0,357.29999999999995,238.39999999999998,155.1,156.0,0,35,0,16,35.9,27.2,13.5,3.5,4.3478260869565215,5.434782608695652,42.391304347826086,27.173913043478258,7,0,8.322826086956523,
1980,Primavera,328.3,19.24705882352941,2.0,14.0,10.0,6.0,1.0,87.5,87.5,87.5,102.5,0,8,0,0,28.6,18.6,11.6,1.0,8.791208791208792,14.285714285714285,6.593406593406594,3.296703296703297,0,0,9.741758241758241,
1980,Verano,150.0,9.833333333333334,2.0,13.0,7.0,1.0,0.0,0.0,0.0,23.5,24.4,0,82,0,19,36.3,25.6,20.6,6.5,9.89010989010989,3.296703296703297,17.582417582417584,7.6923076923076925,0,0,11.836263736263735,
1981,Invierno,173.5,9.605555555555554,4.0,24.0,6.0,2.0,1.0,0.0,0.0,46.0,84.2,8,0,0,0,23.6,13.6,7.4,-2.5,8.695652173913043,13.043478260869565,8.695652173913043,7.608695652173914,0,0,9.397826086956522,
1981,Otoño,371.9,17.452380952380953,4.0,14.0,9.0,5.0,3.0,92.0,92.0,92.0,163.89999999999998,0,17,0,0,30.8,19.4,14.9,1.7,5.434782608695652,10.869565217391305,19.565217391304348,11.956521739130435,0,0,8.967391304347828,
1981,Primavera,214.60000000000002,12.547058823529412,2.0,12.0,8.0,4.0,1.0,0.0,0.0,40.0,45.0,0,13,0,1,32.1,20.4,7.0,0.2,13.186813186813188,12.087912087912088,12.087912087912088,6.593406593406594,0,0,10.361538461538462,
